time,0,1,2,3,4,5,6,7
1645393258.4405842,37.0,36.0,37.0,37.0,38.0,40.0,37.0,37.0
1645393258.6430588,37.0,36.0,37.0,37.0,38.0,40.0,37.0,37.0
1645393258.8453414,37.0,36.0,37.0,37.0,38.0,40.0,37.0,37.0
1645393259.0476418,37.0,36.0,37.0,37.0,38.0,40.0,37.0,37.0
1645393259.2499511,37.0,36.0,37.0,37.0,38.0,40.0,37.0,37.0
1645393259.452096,38.0,36.0,36.0,36.0,37.0,37.0,38.0,36.0
1645393259.6542654,38.0,36.0,36.0,36.0,37.0,37.0,38.0,36.0
1645393259.8566,38.0,36.0,36.0,36.0,37.0,37.0,38.0,36.0
1645393260.0585923,38.0,36.0,36.0,36.0,37.0,37.0,38.0,36.0
1645393260.2609336,38.0,36.0,36.0,36.0,37.0,37.0,38.0,36.0
1645393260.4632564,37.0,36.0,37.0,36.0,37.0,37.0,37.0,36.0
1645393260.6655743,37.0,36.0,37.0,36.0,37.0,37.0,37.0,36.0
1645393260.867693,37.0,36.0,37.0,36.0,37.0,37.0,37.0,36.0
1645393261.0700428,37.0,36.0,37.0,36.0,37.0,37.0,37.0,36.0
1645393261.2722023,37.0,36.0,37.0,36.0,37.0,37.0,37.0,36.0
1645393261.4744134,37.0,36.0,36.0,35.0,37.0,37.0,37.0,36.0
1645393261.67683,37.0,36.0,36.0,35.0,37.0,37.0,37.0,36.0
1645393261.8788862,37.0,36.0,36.0,35.0,37.0,37.0,37.0,36.0
1645393262.0809698,37.0,36.0,36.0,35.0,37.0,37.0,37.0,36.0
1645393262.2832694,37.0,36.0,36.0,35.0,37.0,37.0,37.0,36.0
1645393262.485326,37.0,36.0,35.0,35.0,37.0,37.0,38.0,37.0
1645393262.687447,37.0,36.0,35.0,35.0,37.0,37.0,38.0,37.0
1645393262.8897092,37.0,36.0,35.0,35.0,37.0,37.0,38.0,37.0
1645393263.0917668,37.0,36.0,35.0,35.0,37.0,37.0,38.0,37.0
1645393263.2937484,37.0,36.0,35.0,35.0,37.0,37.0,38.0,37.0
1645393263.4961011,37.0,36.0,36.0,36.0,37.0,37.0,38.0,36.0
1645393263.6983893,37.0,36.0,36.0,36.0,37.0,37.0,38.0,36.0
1645393263.9005,37.0,36.0,36.0,36.0,37.0,37.0,38.0,36.0
1645393264.1028183,37.0,36.0,36.0,36.0,37.0,37.0,38.0,36.0
1645393264.304818,37.0,36.0,36.0,36.0,37.0,37.0,38.0,36.0
1645393264.5067124,37.0,36.0,35.0,36.0,37.0,37.0,39.0,36.0
1645393264.7090132,37.0,36.0,35.0,36.0,37.0,37.0,39.0,36.0
1645393264.911085,37.0,36.0,35.0,36.0,37.0,37.0,39.0,36.0
1645393265.113185,37.0,36.0,35.0,36.0,37.0,37.0,39.0,36.0
1645393265.31549,37.0,36.0,35.0,36.0,37.0,37.0,39.0,36.0
1645393265.5176537,37.0,35.0,36.0,36.0,37.0,37.0,39.0,36.0
1645393265.719922,37.0,35.0,36.0,36.0,37.0,37.0,39.0,36.0
1645393265.9221375,37.0,35.0,36.0,36.0,37.0,37.0,39.0,36.0
1645393266.1241515,37.0,35.0,36.0,36.0,37.0,37.0,39.0,36.0
1645393266.326261,37.0,35.0,36.0,36.0,37.0,37.0,39.0,36.0
1645393266.5285552,37.0,36.0,36.0,35.0,37.0,36.0,38.0,39.0
1645393266.7308064,37.0,36.0,36.0,35.0,37.0,36.0,38.0,39.0
1645393266.9328072,37.0,36.0,36.0,35.0,37.0,36.0,38.0,39.0
1645393267.1350095,37.0,36.0,36.0,35.0,37.0,36.0,38.0,39.0
1645393267.3373442,37.0,36.0,36.0,35.0,37.0,36.0,38.0,39.0
1645393267.5394137,37.0,36.0,36.0,36.0,37.0,36.0,37.0,38.0
1645393267.741894,37.0,36.0,36.0,36.0,37.0,36.0,37.0,38.0
