time,total_packets
1645401600.4518428,6379028
1645401600.6530242,6379028
1645401600.8542473,6379030
1645401601.0554485,6379030
1645401601.2566242,6379031
1645401601.4578087,6379031
1645401601.6589758,6379031
1645401601.86018,6379032
1645401602.0614073,6379032
1645401602.2626195,6379034
1645401602.463787,6379035
1645401602.664947,6379035
1645401602.866244,6379036
1645401603.067455,6379037
1645401603.2686296,6379038
1645401603.4698286,6379039
1645401603.6709962,6379040
1645401603.8722708,6379043
1645401604.0735354,6379043
1645401604.2747116,6379043
1645401604.4759142,6379043
1645401604.677079,6379044
1645401604.8783062,6379046
1645401605.0795279,6379110
1645401605.2808547,6379111
1645401605.482063,6379111
1645401605.6832979,6379111
1645401605.884525,6379112
1645401606.0857022,6379112
1645401606.2868378,6379112
1645401606.487904,6379112
1645401606.6890807,6379113
1645401606.8903065,6379114
1645401607.0915148,6379114
1645401607.292685,6379114
1645401607.4938657,6379114
1645401607.69503,6379115
1645401607.8962498,6379115
1645401608.0974712,6379116
1645401608.298642,6379117
1645401608.4998522,6379118
1645401608.701018,6379120
1645401608.9022424,6379120
1645401609.1034377,6379120
1645401609.3046072,6379120
1645401609.5058258,6379121
1645401609.706902,6379123
1645401609.9080994,6379123
1645401610.10943,6379123
1645401610.3106244,6379123
1645401610.511832,6379123
1645401610.7128928,6379124
1645401610.913978,6379126
1645401611.1152086,6379126
1645401611.316441,6379128
1645401611.5176146,6379128
1645401611.7187924,6379129
1645401611.9199529,6379129
1645401612.1211853,6379129
1645401612.3223743,6379129
1645401612.523603,6379129
1645401612.7247703,6379130
1645401612.925931,6379130
1645401613.127087,6379130
1645401613.3283143,6379130
1645401613.5295372,6379130
1645401613.7307022,6379131
1645401613.9318984,6379132
1645401614.1330621,6379132
1645401614.334287,6379132
1645401614.5354767,6379133
1645401614.736643,6379135
1645401614.9378145,6379135
1645401615.13898,6379136
1645401615.340526,6379136
1645401615.541702,6379136
1645401615.7428684,6379137
1645401615.9440138,6379137
1645401616.1452074,6379137
1645401616.3463974,6379137
1645401616.5475848,6379137
1645401616.7487588,6379138
1645401616.9499326,6379139
1645401617.1511786,6379139
1645401617.3523672,6379140
1645401617.5536022,6379140
1645401617.754759,6379142
1645401617.9559188,6379142
1645401618.1570857,6379143
1645401618.3582664,6379143
1645401618.5595195,6379144
1645401618.760692,6379145
1645401618.961842,6379145
1645401619.163004,6379145
1645401619.3642063,6379145
1645401619.5654385,6379146
1645401619.7666202,6379148
1645401619.967826,6379148
1645401620.1690054,6379148
1645401620.370181,6379148
1645401620.5714061,6379148
1645401620.7725859,6379149
1645401620.9737475,6379149
1645401621.1749418,6379149
1645401621.3761642,6379149
1645401621.5773754,6379149
1645401621.7785635,6379150
1645401621.9797294,6379150
1645401622.180924,6379150
1645401622.382124,6379150
1645401622.5833557,6379150
1645401622.784544,6379151
1645401622.9857101,6379151
1645401623.186835,6379151
1645401623.3880017,6379151
1645401623.5891922,6379151
1645401623.7903857,6379152
1645401623.9915676,6379153
1645401624.1927345,6379153
1645401624.3940308,6379153
1645401624.5952673,6379155
1645401624.7964728,6379157
1645401624.9976492,6379157
1645401625.1988294,6379157
1645401625.3999932,6379157
1645401625.6011786,6379157
1645401625.8024082,6379159
1645401626.0035906,6379159
1645401626.2047646,6379159
1645401626.4059315,6379159
1645401626.6071775,6379159
1645401626.8084052,6379160
1645401627.0096204,6379160
1645401627.2108068,6379160
1645401627.411982,6379161
1645401627.6131756,6379161
1645401627.8143702,6379162
1645401628.0155518,6379163
1645401628.2167463,6379163
1645401628.4179192,6379163
1645401628.6190922,6379163
1645401628.8202763,6379164
1645401629.0215318,6379164
1645401629.2227025,6379164
1645401629.4239075,6379165
1645401629.6250896,6379166
1645401629.8262746,6379168
1645401630.0274923,6379170
1645401630.2286613,6379170
1645401630.4298294,6379170
1645401630.63099,6379170
1645401630.8321867,6379171
1645401631.0333638,6379171
1645401631.23455,6379171
1645401631.4357133,6379171
1645401631.6369243,6379171
1645401631.8379881,6379172
1645401632.03918,6379172
1645401632.2403696,6379172
1645401632.4415963,6379172
1645401632.6427734,6379172
1645401632.8438463,6379173
1645401633.0450115,6379173
1645401633.2462008,6379173
1645401633.4474158,6379173
1645401633.6486018,6379173
1645401633.8497217,6379174
1645401634.0509028,6379174
1645401634.2521167,6379174
1645401634.4533849,6379175
1645401634.6545725,6379176
1645401634.8557541,6379177
1645401635.0568678,6379177
1645401635.2580376,6379177
1645401635.4592724,6379177
1645401635.6605046,6379177
1645401635.8616786,6379178
1645401636.0628471,6379178
1645401636.264028,6379178
1645401636.4651856,6379178
1645401636.6664515,6379178
1645401636.867613,6379179
1645401637.0688305,6379179
1645401637.270008,6379179
1645401637.4711976,6379179
1645401637.6724272,6379179
1645401637.8736103,6379180
1645401638.0747743,6379181
1645401638.2759364,6379182
1645401638.4771826,6379184
1645401638.678369,6379185
1645401638.8795516,6379186
1645401639.080725,6379186
1645401639.2819083,6379186
1645401639.483058,6379187
1645401639.6842895,6379188
1645401639.8854704,6379189
1645401640.0866258,6379190
1645401640.2878528,6379190
1645401640.4890249,6379190
1645401640.6902192,6379191
1645401640.8914025,6379191
1645401641.0925703,6379191
1645401641.2937577,6379191
1645401641.494922,6379191
1645401641.6961381,6379192
1645401641.8973594,6379192
1645401642.0985756,6379192
1645401642.299745,6379192
1645401642.5009108,6379192
1645401642.7019758,6379193
1645401642.9031723,6379193
1645401643.1043634,6379193
1645401643.305588,6379193
1645401643.5067794,6379193
1645401643.707838,6379195
1645401643.9090037,6379195
1645401644.1101933,6379195
1645401644.3113718,6379195
1645401644.5125346,6379196
1645401644.7136981,6379198
1645401644.9148934,6379198
1645401645.116058,6379198
1645401645.3172498,6379198
1645401645.5184383,6379198
1645401645.7196224,6379199
1645401645.920815,6379199
1645401646.12198,6379200
1645401646.3231752,6379201
1645401646.524406,6379201
1645401646.7255766,6379203
1645401646.9270458,6379203
1645401647.1283066,6379203
1645401647.329552,6379203
1645401647.5307171,6379203
1645401647.7318847,6379204
1645401647.933048,6379204
1645401648.1342366,6379205
1645401648.3354201,6379205
1645401648.5366423,6379207
1645401648.7378118,6379208
1645401648.9389746,6379208
1645401649.1401792,6379208
1645401649.3413725,6379208
1645401649.5425394,6379209
1645401649.7437038,6379211
1645401649.944889,6379211
1645401650.1460593,6379211
1645401650.3472474,6379211
1645401650.5484228,6379211
1645401650.7495716,6379212
1645401650.9507341,6379212
1645401651.1519408,6379212
1645401651.353174,6379212
1645401651.554366,6379212
1645401651.7555816,6379213
1645401651.9567456,6379213
1645401652.1579213,6379213
1645401652.3590915,6379213
1645401652.5602822,6379213
1645401652.7614982,6379214
1645401652.9625926,6379214
1645401653.1638227,6379214
1645401653.3649702,6379214
1645401653.5661776,6379214
1645401653.7673635,6379215
1645401653.9685392,6379215
1645401654.1697102,6379215
