time,ping
1644038676.2228706,0.198 ms
1644038676.4250758,0.241 ms
1644038676.627258,0.188 ms
1644038676.8293273,0.150 ms
1644038677.0314023,0.255 ms
1644038677.233703,0.255 ms
1644038677.4360187,0.255 ms
1644038677.6381955,0.133 ms
1644038677.8402288,0.251 ms
1644038678.042465,0.235 ms
1644038678.2447667,0.257 ms
1644038678.4470978,0.243 ms
1644038678.649279,0.242 ms
1644038678.8515508,0.265 ms
1644038679.0539541,0.232 ms
1644038679.2561336,0.238 ms
1644038679.4583964,0.260 ms
1644038679.6606658,0.189 ms
1644038679.8628473,0.217 ms
1644038680.0650864,0.272 ms
1644038680.267372,0.255 ms
1644038680.4703758,0.257 ms
1644038680.6727786,0.220 ms
1644038680.8750033,0.244 ms
1644038681.0772405,0.241 ms
1644038681.2794292,0.249 ms
1644038681.4816353,0.217 ms
1644038681.6837976,0.263 ms
1644038681.8860803,0.246 ms
1644038682.088207,0.246 ms
1644038682.2903256,0.244 ms
1644038682.4925425,0.247 ms
1644038682.6948004,0.260 ms
1644038682.8969917,0.246 ms
1644038683.0990932,0.241 ms
1644038683.3012888,0.244 ms
1644038683.5035765,0.260 ms
1644038683.7059412,0.206 ms
1644038683.9081228,0.249 ms
1644038684.1104066,0.241 ms
1644038684.3127248,0.195 ms
1644038684.5148003,0.218 ms
1644038684.7170286,0.199 ms
1644038684.9191318,0.251 ms
1644038685.121373,0.253 ms
1644038685.323629,0.237 ms
1644038685.5258744,0.239 ms
1644038685.728129,0.240 ms
1644038685.9303126,0.217 ms
1644038686.1324985,0.264 ms
1644038686.334926,0.249 ms
1644038686.537064,0.251 ms
1644038686.7392914,0.247 ms
1644038686.941507,0.217 ms
1644038687.1438317,0.257 ms
1644038687.3460903,0.248 ms
1644038687.5483222,0.242 ms
1644038687.750565,0.267 ms
1644038687.9529142,0.263 ms
1644038688.155038,0.260 ms
1644038688.3571963,0.158 ms
1644038688.5592785,0.241 ms
1644038688.761431,0.241 ms
1644038688.9638054,0.120 ms
1644038689.1659052,0.249 ms
1644038689.3680856,0.264 ms
1644038689.5703049,0.247 ms
1644038689.7725425,0.247 ms
1644038689.9747272,0.255 ms
1644038690.1770647,0.254 ms
1644038690.3792884,0.245 ms
1644038690.581545,0.245 ms
1644038690.7838023,0.220 ms
1644038690.9859831,0.258 ms
1644038691.1881838,0.246 ms
1644038691.390389,0.262 ms
1644038691.592759,0.245 ms
1644038691.795124,0.260 ms
1644038691.9973388,0.239 ms
1644038692.1995957,0.177 ms
1644038692.4017148,0.256 ms
1644038692.6040325,0.197 ms
1644038692.8061569,0.193 ms
1644038693.0083728,0.254 ms
1644038693.2106693,0.237 ms
1644038693.4129457,0.194 ms
1644038693.6151018,0.248 ms
1644038693.8173447,0.255 ms
1644038694.0196772,0.269 ms
1644038694.2219446,0.160 ms
1644038694.4241128,0.157 ms
1644038694.6263046,0.166 ms
1644038694.828443,0.258 ms
1644038695.030806,0.261 ms
1644038695.2455828,0.342 ms
1644038695.4480104,0.180 ms
1644038695.6500447,0.194 ms
1644038695.8521855,0.273 ms
1644038696.054954,0.209 ms
1644038696.2571685,0.266 ms
1644038696.4594152,0.304 ms
1644038696.6617799,0.206 ms
1644038696.8639824,0.205 ms
1644038697.0660877,0.245 ms
1644038697.2683208,0.273 ms
1644038697.470645,0.187 ms
1644038697.672833,0.266 ms
1644038697.8751578,0.253 ms
1644038698.0774064,0.245 ms
1644038698.2796233,0.245 ms
1644038698.4818914,0.263 ms
1644038698.684143,0.252 ms
1644038698.8863664,0.267 ms
1644038699.0886211,0.245 ms
1644038699.2908316,0.216 ms
1644038699.4931154,0.260 ms
1644038699.6953619,0.246 ms
1644038699.8976917,0.265 ms
1644038700.1001985,0.251 ms
1644038700.3027241,0.190 ms
1644038700.505082,0.249 ms
1644038700.707308,0.270 ms
1644038700.9096415,0.252 ms
1644038701.1119716,0.198 ms
1644038701.3141541,0.250 ms
1644038701.516425,0.228 ms
1644038701.7186856,0.247 ms
1644038701.9209707,0.254 ms
1644038702.1231172,0.169 ms
1644038702.3252397,0.241 ms
1644038702.5274286,0.249 ms
1644038702.72971,0.251 ms
1644038702.9319422,0.203 ms
1644038703.1340902,0.246 ms
1644038703.3363042,0.244 ms
1644038703.538555,0.245 ms
1644038703.7408738,0.253 ms
1644038703.9430113,0.247 ms
1644038704.1452115,0.243 ms
1644038704.3472574,0.254 ms
1644038704.5495517,0.261 ms
1644038704.7518008,0.222 ms
1644038704.9540117,0.240 ms
1644038705.1562083,0.246 ms
1644038705.358306,0.246 ms
1644038705.5605378,0.216 ms
1644038705.7627738,0.257 ms
1644038705.9650226,0.214 ms
1644038706.167185,0.221 ms
1644038706.3697398,0.222 ms
1644038706.572072,0.267 ms
1644038706.774292,0.266 ms
1644038706.9765594,0.236 ms
1644038707.1788392,0.265 ms
1644038707.381054,0.261 ms
1644038707.5831947,0.258 ms
1644038707.7854612,0.247 ms
1644038707.9877675,0.198 ms
1644038708.189924,0.259 ms
1644038708.3921082,0.265 ms
1644038708.594242,0.173 ms
1644038708.7963789,0.256 ms
1644038708.998669,0.241 ms
1644038709.200944,0.196 ms
1644038709.403059,0.244 ms
1644038709.6052306,0.245 ms
1644038709.807436,0.249 ms
1644038710.0097976,0.246 ms
1644038710.212114,0.252 ms
1644038710.4145918,0.256 ms
1644038710.6169395,0.192 ms
1644038710.8191001,0.262 ms
1644038711.0216124,0.259 ms
1644038711.2240167,0.132 ms
1644038711.4260283,0.243 ms
1644038711.6281943,0.243 ms
1644038711.8304229,0.246 ms
1644038712.0328865,0.138 ms
1644038712.2350798,0.262 ms
1644038712.4373293,0.236 ms
1644038712.6396134,0.242 ms
1644038712.8418024,0.275 ms
1644038713.044032,0.181 ms
1644038713.2462142,0.256 ms
1644038713.448454,0.246 ms
1644038713.650882,0.258 ms
1644038713.8531675,0.243 ms
1644038714.055641,0.226 ms
1644038714.2580445,0.226 ms
1644038714.4679825,0.255 ms
1644038714.6702087,0.171 ms
1644038714.8722322,0.175 ms
