"STATION","NAME","DATE","TMIN"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-29","31"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-30","37"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-03-31","43"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-01","23"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-02","18"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-03","27"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-04","36"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-05","28"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-06","20"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-07","18"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-08","34"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-09","42"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-10","46"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-11","33"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-12","26"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-13","27"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-14","29"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-15","30"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-16","30"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-17","34"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-18","36"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-19","36"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-20","38"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-21","44"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-22","49"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-23","53"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-24","51"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-25","47"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-26","31"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-27","26"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-28","23"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-29","32"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-04-30","37"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-01","37"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-02","42"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-03","43"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-04","38"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-05","31"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-06","27"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-07","32"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-08","35"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-09","43"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-10","41"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-11","35"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-12","38"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-13","37"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-14","47"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-15","52"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-16","52"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-17","47"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-18","37"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-19","37"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-20","44"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-21","51"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-22","48"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-23","33"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-24","31"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-25","39"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-26","35"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-27","32"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-28","34"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-29","42"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-30","47"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-05-31","47"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-01","50"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-02","54"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-03","55"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-04","56"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-05","31"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-06","31"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-07","34"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-08","48"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-09","32"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-10","31"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-11","38"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-12","47"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-13","51"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-14","47"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-15","50"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-16","48"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-17","54"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-18","51"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-19","41"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-20","38"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-21","48"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-22","57"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-23","55"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-24","59"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-25","60"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-26","46"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-27","44"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-28","57"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-29","58"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-06-30","57"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-01","59"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-02","58"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-03","56"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-04","58"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-05","53"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-06","50"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-07","52"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-08","54"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-09","56"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-10","60"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-11","62"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-12","61"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-13","57"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-14","53"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-15","52"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-16","50"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-17","49"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-18","55"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-19","58"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-20","58"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-21","57"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-22","55"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-23","54"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-24","55"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-25","55"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-26","59"
