Name,Address,Average Rating,Number of Ratings,Price Level,Location
Thai time Downtown,"936 Broadway Circle, San Diego",4,75,2,SD
Ogawashi,"1100 Fifth Avenue, San Diego",4,392,2,SD
Panera Bread,"225 Broadway Circle Suite 160, San Diego",4.1,650,2,SD
Phantom Lounge and Nightclub,"1014 Fifth Avenue #140, San Diego",3,44,,SD
Tapas & Beers,"926 Broadway Circle, San Diego",4.5,193,2,SD
Senor Taquero,"435 Broadway, San Diego",4.5,374,1,SD
Rei Do Gado Brazilian Steak House & Seafood,"939 Fourth Avenue, San Diego",4.5,2115,3,SD
American Brasserie,United States,,,,SD
Chipotle Mexican Grill,"101 West Broadway Ste 150, San Diego",4.2,811,1,SD
BBQ Boss,"1017 Front Street, San Diego",4.6,31,,SD
Al Teatro Panini Grill,"1254 Third Avenue, San Diego",4.6,48,1,SD
The Nines,"905 Fourth Avenue, San Diego",,,,SD
5th Ave New York Pizza,"954 Fifth Avenue, San Diego",3.8,179,1,SD
Curadero,"1047 Fifth Avenue, San Diego",4.3,266,3,SD
Fogo de chai,"Fogo de chao, San Diego",,,,SD
Full Moon SD,"926 Fifth Avenue, San Diego",4.4,522,2,SD
Great Wall Express,"501 Broadway, San Diego",3.8,226,1,SD
Crab Hut,"1007 Fifth Avenue #101, San Diego",4.4,1496,2,SD
Mete Supper Club,"905 Fourth Ave, 420 E Street, San Diego",,,,SD
China Too Restaurant,"916 Fifth Avenue, San Diego",3.6,224,1,SD
Pinzimini,"910 Broadway Circle, San Diego",4.1,57,2,SD
Ta,San Diego,,,,SD
Inkazteca Mexican Cuisine,"431 E Street, San Diego",,,,SD
Eye-Ris On E,"431 E Street, San Diego",,,2,SD
Coastal Cantina,"431 E Street, San Diego",4.3,36,2,SD
Bandar Restaurant,"845 Fourth Avenue, San Diego",4.1,569,,SD
Starbucks,"1194 Sixth Avenue, San Diego",4.2,224,2,SD
The Melting Pot,"901 Fifth Avenue, San Diego",4.5,764,3,SD
Gaslamp Tavern,"868 Fifth Avenue, San Diego",4.4,751,2,SD
Tony's Pizza,"433 E Street, San Diego",3.5,175,1,SD
Ghost Fried Chicken,"868 Fifth Avenue, San Diego",3.9,18,,SD
